fullvisitorID,TARGET
id_980666048826025458,Neg
id_3431330562075911984,Pos
id_3855130112046337046,Neg
id_7897911458296845244,Neg
id_156071545337489525,Neg
id_6830757753350929977,Neg
id_8621397410819491358,Neg
id_4525763807633022245,Neg
id_2974796141442005196,Neg
id_7892584650864536086,Neg
id_1667406597619233235,Neg
id_1468774539253202334,Neg
id_4281591678450157309,Neg
id_7848446792402041019,Neg
id_8930413465881358209,Pos
id_7795747006804091903,Pos
id_8184426969943395825,Pos
id_4201412481647137659,Neg
id_3134016300031083239,Pos
id_7757803659396937487,Pos
id_1133894590566397271,Neg
id_2892958455927326647,Pos
id_4739904649312047131,Pos
id_4096213996534055515,Neg
id_312806206324430983,Pos
id_9143829106610488827,Pos
id_3981582835531282587,Pos
id_6494236336885960292,Neg
id_5500341734487743570,Neg
id_4125799346174001416,Pos
id_587883876495403064,Neg
id_47280169756143178,Pos
id_2274368631406576366,Neg
id_1091151110398362173,Neg
id_8364472900964894431,Pos
id_2220587948573965092,Pos
id_2992530984848993377,Pos
id_7426771013561409622,Pos
id_273305598258966418,Pos
id_4781798752450509595,Neg
id_7064528923446143014,Pos
id_2897037429314571325,Pos
id_1301103942343392960,Neg
id_6521606651629815323,Pos
id_3993307898643546751,Pos
id_3603219160466040233,Neg
id_4673957389284414950,Pos
id_7662432385872925146,Neg
id_8334867545363451171,Pos
id_238666575352294904,Neg
id_6300120513937485442,Pos
id_3058940632468948871,Neg
id_5812875058531144391,Pos
id_3703363718903372634,Neg
id_6331321741949821030,Neg
id_5422662638142579763,Pos
id_1917865201716660071,Pos
id_4776260147314199911,Neg
id_1441485949147892915,Pos
id_4225886833091941231,Neg
id_7513380446427090605,Neg
id_5777726038313970436,Neg
id_1053543397465502189,Neg
id_3899783993668615221,Pos
id_7187142487330569863,Neg
id_5758928869137911581,Pos
id_8125054699287153120,Neg
id_2214555641236416024,Pos
id_5926525536774207652,Pos
id_6791031835599967582,Neg
id_6216131414852250964,Pos
id_3465857911540667278,Pos
id_7891810367061072763,Pos
id_3550931292299168369,Neg
id_7283685007025688869,Neg
id_6356933271884759115,Pos
id_185410462645633737,Pos
id_2937210990032744252,Neg
id_7086252356928427317,Pos
id_8171419867673335538,Pos
id_3480449453044439169,Neg
id_8702071684209972947,Neg
id_3913593361502170438,Pos
id_3764802448686610742,Neg
id_7152631948366619568,Neg
id_5313782614439011340,Neg
id_8309488579317251908,Neg
id_3739077346929430943,Neg
id_7264996805452608912,Pos
id_4633566120970091761,Pos
id_3230626096092037416,Pos
id_208356596007389040,Neg
id_4991793494700304237,Neg
id_2128005367261023743,Pos
id_4245804924312703337,Neg
id_1615834627489489831,Neg
id_3675900637155482985,Neg
id_7227809367989729812,Pos
id_1529103458044119718,Pos
id_7006743059054611601,Neg
id_460355315245315709,Pos
id_5066161811205388436,Neg
id_4026976426485220017,Neg
id_9219382318712315968,Pos
